[2026-07-21T20:09:48.426Z] GET http://localhost:3000/_next/static/chunks/1wje_next_dist_client_1kcptyf._.js → 304 (8ms, ?B)
[2026-07-21T20:09:48.426Z] GET http://localhost:3000/_next/static/chunks/1wje_next_dist_1r5rtyb._.js → 304 (8ms, ?B)
[2026-07-21T20:09:48.426Z] GET http://localhost:3000/_next/static/chunks/1wje_%40swc_helpers_cjs_1gj0guz._.js → pending (?ms, ?B)
[2026-07-21T20:09:48.426Z] GET http://localhost:3000/_next/static/chunks/Desktop_NYCHousing_nyc_housing_1anvha4._.js → 304 (8ms, ?B)
[2026-07-21T20:09:48.426Z] GET http://localhost:3000/_next/static/chunks/turbopack-Desktop_NYCHousing_nyc_housing_1fn6qht._.js → 304 (8ms, ?B)
[2026-07-21T20:09:48.426Z] GET http://localhost:3000/_next/static/chunks/1wje_next_dist_1oa_ias._.js → pending (?ms, ?B)
[2026-07-21T20:09:48.426Z] GET http://localhost:3000/_next/static/chunks/Desktop_NYCHousing_nyc_housing_app_layout_tsx_05vfwuz._.js → pending (?ms, ?B)
[2026-07-21T20:09:48.426Z] GET http://localhost:3000/_next/static/chunks/1wje_next_dist_0evnem7._.js → pending (?ms, ?B)
[2026-07-21T20:09:48.426Z] GET http://localhost:3000/_next/static/chunks/Desktop_NYCHousing_nyc_housing_app_housingportal_0v2-ih2._.js → pending (?ms, ?B)
[2026-07-21T20:09:48.426Z] GET http://localhost:3000/_next/static/chunks/Desktop_NYCHousing_nyc_housing_app_housingportal_page_tsx_1bh6z99._.js → pending (?ms, ?B)
[2026-07-21T20:09:48.426Z] GET http://localhost:3000/_next/static/chunks/1wje_next_dist_client_components_builtin_global-error_1bh6z99.js → pending (?ms, ?B)
[2026-07-21T20:09:48.444Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/nyc-housing-connect.jpg → pending (?ms, ?B)
[2026-07-21T20:09:48.444Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/erap.jpg → pending (?ms, ?B)
[2026-07-21T20:09:48.444Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/tenant-protection.jpg → pending (?ms, ?B)
[2026-07-21T20:09:48.444Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG52_tenant-resource-portal.jpg → pending (?ms, ?B)
[2026-07-21T20:09:48.444Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/homeowner-help-desk.jpg → pending (?ms, ?B)
[2026-07-21T20:09:48.444Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/housing-ambassador-logo → pending (?ms, ?B)
[2026-07-21T20:09:48.444Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/46_HAPwD.png → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG1_ApplicationGuide.png → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/nycha.jpg → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/universal-broadband.JPG → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/mitchell-lama-connect.jpg → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/nys-mitchell-lama.jpg → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG7_HDC.png → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/hcr-housing-resources.jpg → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG35_RentersRights.png → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG10_LegalHelp.jpg → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG11_Discrimination.jpg → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG12_UnsafeHousing.png → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG13_NYCHARepairs.png → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG14_Rights.jpg → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/illegal-eviction.jpg → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG17_FinancialCounseling.png → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG18_OneShotDeal.png → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG19_Homebase.png → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG20_RentFreezeSeniors.jpg → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG21_RentFreezeDisabilities.png → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/47_ResourcesPwD.png → pending (?ms, ?B)
[2026-07-21T20:09:48.445Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG22_RentalGrants.png → pending (?ms, ?B)
[2026-07-21T20:09:48.446Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG31_HeatUtilities.png → pending (?ms, ?B)
[2026-07-21T20:09:48.446Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG53_property-owner-clinic.jpg → pending (?ms, ?B)
[2026-07-21T20:09:48.446Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG56_ghpp.jpg → pending (?ms, ?B)
[2026-07-21T20:09:48.446Z] GET https://www.nyc.gov/assets/housingportal/images/content/pages/IMG57_homefix.JPG → pending (?ms, ?B)
[2026-07-21T20:09:48.452Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 304 (5ms, ?B)
[2026-07-21T20:09:48.453Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0548uz2._.js → 304 (4ms, ?B)
[2026-07-21T20:09:48.942Z] GET http://localhost:3000/housing_placeholder.jpg → 200 (11ms, 30461B)
